type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
,Acanthocercus adramitanus,(ANDERSON 1896),,"E: Anderson's Rock Agama, Hadramaut Agama
G: Hadramautagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",10039,
,Acanthocercus annectans,(BLANFORD 1870),,"E: Eritrean Rock Agama, Eritrean Ridgeback Agama","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",10040,
,Acanthocercus atricollis,(SMITH 1849),,"E: Blue-headed tree agama, Black-necked (Ridgeback) agama, Southern Tree Agama, Blue-throated Agama
G: Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",10041,
,Acanthocercus branchi,"WAGNER, GREENBAUM & BAUER 2012",,,"Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",10042,
,Acanthocercus cyanocephalus,(FALK 1925),,"E: Falk’s Blue-headed tree agama
G: Falks Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",21725,
x,Acanthocercus cyanogaster,(RÜPPELL 1835),,"E: Blue-bellied Ridgeback agama, Black-necked tree agama","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",10043,
,Acanthocercus gregorii,(GÜNTHER 1894),,"E: Blue-headed tree agama, Black-necked (Ridgeback) agama, Southern Tree Agama, Blue-throated Agama
G: Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",21726,
,Acanthocercus guentherpetersi,LARGEN & SPAWLS 2006,,E: Peter’s Ridgeback Agama,"Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",10044,
,Acanthocercus kiwuensis,(KLAUSEWITZ 1957),,"E: Kivu Blue-headed tree agama
G: Kivu-Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",21727,
,Acanthocercus minutus,(KLAUSEWITZ 1957),,"E: Blue-headed tree agama, Black-necked (Ridgeback) agama, Southern Tree Agama, Blue-throated Agama
G: Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",21729,
,Acanthocercus phillipsii,(BOULENGER 1895),,E: Philipps’ Ridgeback Agama,"Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",10045,
,Acanthocercus ugandaensis,(KLAUSEWITZ 1957),,"E: Uganda Blue-headed tree agama
G: Uganda-Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",21728,
,Acanthocercus yemensis,(KLAUSEWITZ 1954),,,"Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",10046,
,Acanthochelys macrocephala,"(RHODIN, MITTERMEIER & MCMORRIS 1984)",,"E: Big-headed Pantanal Swamp Turtle
G: Pantanal-Plattschildkröte
Portuguese: Cágado, Tartaruga-do-Pantanal.","Chelidae, Chelinae,  Pleurodira, Testudines (turtles)",10047,
,Acanthochelys pallidipectoris,(FREIBERG 1945),,"E: Chaco Side-necked Turtle
G: Sporn-Plattschildkröte","Chelidae, Chelinae,  Pleurodira, Testudines (turtles)",10048,
,Acanthochelys radiolata,(MIKAN 1820),,"E: Brazilian Radiolated Swamp Turtle
G: STrahlen-Plattschildkröte
Portuguese: Cágado, Cágado-Amarelo, Cágado-Pescoço-de-Cobra.","Chelidae, Chelinae,  Pleurodira, Testudines (turtles)",10049,
x,Acanthochelys spixii,(DUMÉRIL & BIBRON 1835),,"E: Black Spine-necked Swamp Turtle
G: Stachelhals-Plattschildkröte
Portuguese: Cágado, Cágado-D'água-Doce, Cágado-de-Canaleta, Cágado-de-Pescoço-Espinhudo, Cágado-do-Cerrado, Cágado-Feio, Cágado-Preto, Tartaruga-Bunda.","Chelidae, Chelinae,  Pleurodira, Testudines (turtles)",10050,
